Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
309205,María,Jorge Isaacs,"Isaacs, Jorge",Donald McGrady,"=""8437606101""","=""9788437606101""",0,3.53,Ediciones Cátedra,Paperback,373,2001,1867,,2025/01/10,to-read,to-read (#252),to-read,,,,0,0
5974828,The Damned Thing,Ambrose Bierce,"Bierce, Ambrose",,"=""""","=""""",0,3.52,CryptoQuest Publishing,Kindle Edition,19,2008,1893,,2025/01/10,to-read,to-read (#251),to-read,,,,0,0
261240,The Cask of Amontillado,Edgar Allan Poe,"Poe, Edgar Allan",,"=""1594561869""","=""9781594561863""",0,4.07,BookSurge,Paperback,24,2009,1846,,2025/01/10,to-read,to-read (#250),to-read,,,,0,0
401514,Alive: The Story of the Andes Survivors,Piers Paul Read,"Read, Piers Paul",,"=""038000321X""","=""9780380003211""",0,4.14,Avon,Paperback,318,1975,1974,,2025/01/10,to-read,to-read (#249),to-read,,,,0,0
3291,The Stories of Eva Luna,Isabel Allende,"Allende, Isabel",,"=""0743217187""","=""9780743217187""",0,3.98,Scribner,Paperback,331,2001,1989,,2025/01/10,to-read,to-read (#248),to-read,,,,0,0
18373214,"Cockroaches (Harry Hole, #2)",Jo Nesbø,"Nesbø, Jo",Don Bartlett,"=""""","=""9780345807151""",0,3.73,Vintage Crime/Black Lizard,Paperback,368,2014,1998,,2025/01/10,to-read,to-read (#247),to-read,,,,0,0
102328,The Knight in Rusty Armor,Robert    Fisher,"Fisher, Robert",,"=""0879804211""","=""9780879804213""",0,3.85,Wilshire Book Co.,Paperback,74,1987,1987,,2025/01/10,to-read,to-read (#246),to-read,,,,0,0
131123,"The Austere Academy (A Series of Unfortunate Events, #5)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""0064408639""","=""9780064408639""",0,4.01,HarperCollins,Hardcover,221,2000,2000,,2025/01/10,to-read,to-read (#245),to-read,,,,0,0
62446,The Prince and the Pauper,Mark Twain,"Twain, Mark",Everett Emerson,"=""0451528352""","=""9780451528353""",0,3.87,Signet,Paperback,240,2002,1881,,2025/01/10,to-read,to-read (#244),to-read,,,,0,0
3869501,Tokyo Fiancée,Amélie Nothomb,"Nothomb, Amélie",Alison Anderson,"=""1933372648""","=""9781933372648""",0,3.74,Europa Editions,Paperback,160,2008,2007,,2025/01/10,to-read,to-read (#243),to-read,,,,0,0
52611886,Narraciones,Anton Chekhov,"Chekhov, Anton",Antón Chéjov,"=""""","=""""",0,3.92,Biblioteca Básica Salvat,Paperback,172,1982,1971,,2025/01/10,to-read,to-read (#242),to-read,,,,0,0
752629,Selected Poems,Emily Dickinson,"Dickinson, Emily",,"=""0486264661""","=""9780486264660""",0,4.18,Dover Publications,Paperback,54,1990,1890,,2025/01/10,to-read,to-read (#241),to-read,,,,0,0
23785283,Annie's Day,Andy Weir,"Weir, Andy",,"=""""","=""""",0,3.70,www.galactanet.com,ebook,3,2011,2011,,2025/01/10,to-read,to-read (#240),to-read,,,,0,0
23310699,Crenshaw,Katherine Applegate,"Applegate, Katherine",,"=""1250043239""","=""9781250043238""",0,3.97,Feiwel & Friends,Hardcover,256,2015,2015,,2025/01/10,to-read,to-read (#239),to-read,,,,0,0
39108567,"The Restaurant at the End of the Universe (The Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",0,4.20,Del Rey,Kindle Edition,255,2014,1980,,2025/01/10,to-read,to-read (#238),to-read,,,,0,0
920649,An Occurrence at Owl Creek Bridge,Ambrose Bierce,"Bierce, Ambrose",,"=""0874068134""","=""9780874068139""",0,4.01,St. Petersburg,ebook,36,1996,1890,,2025/01/10,to-read,to-read (#237),to-read,,,,0,0
10984,Three Famous Short Novels: Spotted Horses / Old Man / The Bear,William Faulkner,"Faulkner, William",,"=""0394701496""","=""9780394701493""",0,3.82,Vintage,Mass Market Paperback,320,1958,1958,,2025/01/10,to-read,to-read (#236),to-read,,,,0,0
40864841,Laura Dean Keeps Breaking Up with Me,Mariko Tamaki,"Tamaki, Mariko",Rosemary Valero-O'Connell,"=""1250312841""","=""9781250312846""",0,3.84,First Second,Hardcover,289,2019,2019,,2025/01/10,to-read,to-read (#235),to-read,,,,0,0
677552,The Selfish Giant,Oscar Wilde,"Wilde, Oscar",S. Saelig Gallagher,"=""0399224483""","=""9780399224485""",0,4.07,Putnam Juvenile,Hardcover,32,1995,1888,,2025/01/10,to-read,to-read (#234),to-read,,,,0,0
167938,1912+1,Leonardo Sciascia,"Sciascia, Leonardo",,"=""8472232549""","=""9788472232549""",0,3.58,Tusquets Editores S.A.,Paperback,127,1987,1986,,2025/01/10,to-read,to-read (#233),to-read,,,,0,0
17563539,The Egg,Andy Weir,"Weir, Andy",,"=""""","=""""",0,4.21,Andy Weir / Galactanet,ebook,3,2009,2009,,2025/01/10,to-read,to-read (#232),to-read,,,,0,0
